code,display_name,city,raw_name
AEM00041217,Abu Dhabi International Air (Abu Dhabi International Air),Abu Dhabi International Air,ABU DHABI INTERNATIONAL AIR
AFM00040948,Kabul Airport (Kabul Airport),Kabul Airport,KABUL AIRPORT
AGM00060390,Dar-El-Beida,Dar-El-Beida,DAR-EL-BEIDA
AGM00060571,Bechar,Bechar,BECHAR
AGM00060630,In-Salah,In-Salah,IN-SALAH
AGM00060656,Tindouf,Tindouf,TINDOUF
AGM00060680,Tamanrasset,Tamanrasset,TAMANRASSET
AMM00037789,Yerevan Aero,Yerevan Aero,YEREVAN AERO
AOM00066160,Luanda,Luanda,LUANDA
AOM00066285,Luena,Luena,LUENA
AOM00066390,Lubango Sa Da Bandeira,Lubango Sa Da Bandeira,LUBANGO SA DA BANDEIRA
AQM00091765,Pago Pago (Pago Pago/Int.Airp. America),Pago Pago,PAGO PAGO/INT.AIRP. AMERICA
ARM00087155,Resistencia Aero,Resistencia Aero,RESISTENCIA AERO
ARM00087344,Cordoba Aero,Cordoba Aero,CORDOBA AERO
ARM00087418,Mendoza Aero,Mendoza Aero,MENDOZA AERO
ARM00087576,Ezeiza Aero,Ezeiza Aero,EZEIZA AERO
ARM00087582,Aeroparque Aero,Aeroparque Aero,AEROPARQUE AERO
ARM00087585,Buenos Aires Observatorio (Buenos Aires Observatorio),Buenos Aires Observatorio,BUENOS AIRES OBSERVATORIO
ARM00087623,Santa Rosa Aero,Santa Rosa Aero,SANTA ROSA AERO
ARM00087715,Neuquen Aero,Neuquen Aero,NEUQUEN AERO
ARM00087860,Comodoro Rivadavia Aero,Comodoro Rivadavia Aero,COMODORO RIVADAVIA AERO
ASM00094120,Darwin Airport (Darwin Airport),Darwin Airport,DARWIN AIRPORT
ASM00094155,East Arnhem,East Arnhem,EAST ARNHEM
ASM00094170,Weipa Aero,Weipa Aero,WEIPA AERO
ASM00094203,Broome Airport (Broome Airport),Broome Airport,BROOME AIRPORT
ASM00094299,Willis Island,Willis Island,WILLIS ISLAND
ASM00094302,Learmonth Airport (Learmonth Airport),Learmonth Airport,LEARMONTH AIRPORT
ASM00094312,Port Hedland Airport (Port Hedland Airport),Port Hedland Airport,PORT HEDLAND AIRPORT
ASM00094326,Alice Springs Airport (Alice Springs Airport),Alice Springs Airport,ALICE SPRINGS AIRPORT
ASM00094332,Mount Isa Aero,Mount Isa Aero,MOUNT ISA AERO
ASM00094374,Rockhampton Aero,Rockhampton Aero,ROCKHAMPTON AERO
ASM00094403,Geraldton Airport (Geraldton Airport),Geraldton Airport,GERALDTON AIRPORT
ASM00094430,Meekatharra Airport (Meekatharra Airport),Meekatharra Airport,MEEKATHARRA AIRPORT
ASM00094461,Giles Meteorological Office,Giles Meteorological Office,GILES METEOROLOGICAL OFFICE
ASM00094510,Charleville Aero,Charleville Aero,CHARLEVILLE AERO
ASM00094578,Brisbane Aero,Brisbane Aero,BRISBANE AERO
ASM00094610,Perth Airport (Perth Airport),Perth Airport,PERTH AIRPORT
ASM00094637,Kalgoorlie-Boulder Airport (Kalgoorlie-Boulder Airport),Kalgoorlie-Boulder Airport,KALGOORLIE-BOULDER AIRPORT
ASM00094638,Esperance,Esperance,ESPERANCE
ASM00094653,Ceduna Amo,Ceduna Amo,CEDUNA AMO
ASM00094659,Woomera Aerodrome,Woomera Aerodrome,WOOMERA AERODROME
ASM00094672,Adelaide Airport (Adelaide Airport),Adelaide Airport,ADELAIDE AIRPORT
ASM00094711,Cobar Mo,Cobar Mo,COBAR MO
ASM00094750,Nowra Ran Air Station Aws (Nowra Ran Air Station Aws),Nowra Ran Air Station Aws,NOWRA RAN AIR STATION AWS
ASM00094767,Sydney Airport Amo (Sydney Airport Amo),Sydney Airport Amo,SYDNEY AIRPORT AMO
ASM00094776,Williamtown Raaf,Williamtown Raaf,WILLIAMTOWN RAAF
ASM00094802,Albany Airport (Albany Airport),Albany Airport,ALBANY AIRPORT
ASM00094821,Mount Gambier Aero,Mount Gambier Aero,MOUNT GAMBIER AERO
ASM00094866,Melbourne Airport (Melbourne Airport),Melbourne Airport,MELBOURNE AIRPORT
ASM00094910,Wagga Wagga Amo,Wagga Wagga Amo,WAGGA WAGGA AMO
ASM00094975,Hobart Airport West (Hobart Airport West),Hobart Airport West,HOBART AIRPORT WEST
ASM00094995,Lord Howe Island Aero,Lord Howe Island Aero,LORD HOWE ISLAND AERO
ASM00094998,Macquarie Island,Macquarie Island,MACQUARIE ISLAND
ASM00095527,Moree Aero,Moree Aero,MOREE AERO
ATM00094001,Yeppoon (Barmaryee),Yeppoon (Barmaryee),YEPPOON (BARMARYEE)
ATM00094005,Clifton Beach,Clifton Beach,CLIFTON BEACH
ATM00094775,Tocal Aws,Tocal Aws,TOCAL AWS
ATM00095282,Woodstock,Woodstock,WOODSTOCK
ATM00095954,Kennaook  (Kennaook / Cape Grim),Kennaook ,KENNAOOK / CAPE GRIM
AUM00011010,Linz,Linz,LINZ/HOERSCHING-FLUGHAFEN
AUM00011035,Wien,Wien,WIEN/HOHE WARTE (11035-0)
AUM00011120,Innsbruck-Flughafen,Innsbruck-Flughafen,INNSBRUCK-FLUGHAFEN
AUM00011240,Graz-Thalerhof-Flughafen,Graz-Thalerhof-Flughafen,GRAZ-THALERHOF-FLUGHAFEN
AYM00089002,Georg Von Neumayer,Georg Von Neumayer,GEORG VON NEUMAYER
AYM00089022,Halley,Halley,HALLEY
AYM00089055,Base Marambio (Base Marambio),Base Marambio,BASE MARAMBIO
AYM00089056,Centro Met. Anti Rtico Pres,Centro Met. Anti Rtico Pres,CENTRO MET. ANTI RTICO PRES
AYM00089062,Rothera,Rothera,ROTHERA
AYM00089063,Vernadsky,Vernadsky,VERNADSKY
AYM00089512,Novolazarevskaja,Novolazarevskaja,NOVOLAZAREVSKAJA
AYM00089532,Syowa,Syowa,SYOWA
AYM00089564,Mawson,Mawson,MAWSON
AYM00089571,Davis,Davis,DAVIS
AYM00089592,Mirnyj (89592-0),Mirnyj (89592-0),MIRNYJ (89592-0)
AYM00089611,Casey,Casey,CASEY
AYM00089625,Concordia,Concordia,CONCORDIA
AYM00089642,Dumont D'Urville,Dumont D'Urville,DUMONT D'URVILLE
AYM00089662,Mario Zuchelli Station,Mario Zuchelli Station,MARIO ZUCHELLI STATION
AYM00089664,Mcmurdo,Mcmurdo,MCMURDO
AYM00089859,Jang Bogo,Jang Bogo,JANG BOGO
BBM00078954,Grantley Adams,Grantley Adams,GRANTLEY ADAMS
BDM00078016,L F Wade International Airp (L F Wade International Airp),L F Wade International Airp,L F WADE INTERNATIONAL AIRP
BEM00006458,Beauvechain,Beauvechain,BEAUVECHAIN
BFM00078073,Nassau Airport New Providen (Nassau Airport New Providen),Nassau Airport New Providen,NASSAU AIRPORT NEW PROVIDEN
BGM00041859,Rangpur,Rangpur,RANGPUR
BGM00041883,Bogra,Bogra,BOGRA
BGM00041891,Sylhet,Sylhet,SYLHET
BGM00041907,Ishwardi,Ishwardi,ISHWARDI
BGM00041923,Dhaka,Dhaka,DHAKA
BGM00041936,Jessore,Jessore,JESSORE
BGM00041943,Feni (41943-0),Feni (41943-0),FENI (41943-0)
BGM00041950,Barisal,Barisal,BARISAL
BGM00041977,Chittagong (Ambagan),Chittagong (Ambagan),CHITTAGONG (AMBAGAN)
BGM00041992,Cox'S Bazar,Cox'S Bazar,COX'S BAZAR
BHM00078583,Belize,Belize,BELIZE/PHILLIP GOLDSTON INT
BMM00048042,Mandalay,Mandalay,MANDALAY
BMM00048097,Yangon,Yangon,YANGON
BNM00065344,Cotonou,Cotonou,COTONOU
BOM00026850,Minsk,Minsk,MINSK
BOM00033008,Brest (33008-0),Brest (33008-0),BREST (33008-0)
BOM00033041,Gomel (33041-0),Gomel (33041-0),GOMEL (33041-0)
BRM00082022,Boa Vista (Aero),Boa Vista (Aero),BOA VISTA (AERO)
BRM00082026,Tirios (Aero),Tirios (Aero),TIRIOS (AERO)
BRM00082099,Macapa (Aero) (Macapa (Aero)),Macapa (Aero),MACAPA (AERO)
BRM00082107,Sao Gabriel Da Cachoeira,Sao Gabriel Da Cachoeira,SAO GABRIEL DA CACHOEIRA
BRM00082193,Belem (Aero),Belem (Aero),BELEM (AERO)
BRM00082244,Santarem (Aero),Santarem (Aero),SANTAREM (AERO)
BRM00082281,Sao Luis (Aero),Sao Luis (Aero),SAO LUIS (AERO)
BRM00082332,Manaus (Aero),Manaus (Aero),MANAUS (AERO)
BRM00082400,Fernando De Noronha (Aero),Fernando De Noronha (Aero),FERNANDO DE NORONHA (AERO)
BRM00082411,Tabatinga (Aero),Tabatinga (Aero),TABATINGA (AERO)
BRM00082532,Manicore (Aero),Manicore (Aero),MANICORE (AERO)
BRM00082599,Natal (Aero),Natal (Aero),NATAL (AERO)
BRM00082705,Cruzeiro Do Sul (Aero),Cruzeiro Do Sul (Aero),CRUZEIRO DO SUL (AERO)
BRM00082824,Porto Velho (Aero),Porto Velho (Aero),PORTO VELHO (AERO)
BRM00082917,Rio Branco (Aero),Rio Branco (Aero),RIO BRANCO (AERO)
BRM00082965,Alta Floresta (Aero),Alta Floresta (Aero),ALTA FLORESTA (AERO)
BRM00082983,Petrolina (82983-0),Petrolina (82983-0),PETROLINA (82983-0)
BRM00083208,Vilhena (Aero),Vilhena (Aero),VILHENA (AERO)
BRM00083362,Cuiaba (Aero),Cuiaba (Aero),CUIABA (AERO)
BRM00083378,Brasilia (Aero),Brasilia (Aero),BRASILIA (AERO)
BRM00083525,Uberlandia (Aero),Uberlandia (Aero),UBERLANDIA (AERO)
BRM00083566,Confins (Aero),Confins (Aero),CONFINS (AERO)
BRM00083612,Campo Grande (Aero),Campo Grande (Aero),CAMPO GRANDE (AERO)
BRM00083649,Vitoria (Aero),Vitoria (Aero),VITORIA (AERO)
BRM00083746,Galeao (Aero),Galeao (Aero),GALEAO (AERO)
BRM00083768,Londrina (Aero),Londrina (Aero),LONDRINA (AERO)
BRM00083779,Marte (Aero),Marte (Aero),MARTE (AERO)
BRM00083827,Foz Do Iguacu (Aero),Foz Do Iguacu (Aero),FOZ DO IGUACU (AERO)
BRM00083840,Curitiba (Aero),Curitiba (Aero),CURITIBA (AERO)
BRM00083899,Florianopolis (Aero),Florianopolis (Aero),FLORIANOPOLIS (AERO)
BRM00083928,Uruguaiana (Aero),Uruguaiana (Aero),URUGUAIANA (AERO)
BRM00083937,Santa Maria (Aero),Santa Maria (Aero),SANTA MARIA (AERO)
BUM00015614,Sofia (Observ.),Sofia (Observ.),SOFIA (OBSERV.)
BXM00096315,Brunei Airport (Brunei Airport),Brunei Airport,BRUNEI AIRPORT
BXM00096323,Kuala Belait,Kuala Belait,KUALA BELAIT
CAM00071043,Norman Wells A; Nwt,Norman Wells A; Nwt,NORMAN WELLS A; NWT
CAM00071081,Hall Beach Ua; Nu,Hall Beach Ua; Nu,HALL BEACH UA; NU
CAM00071082,Alert Ua; Nu,Alert Ua; Nu,ALERT UA; NU
CAM00071109,Port Hardy A; Bc,Port Hardy A; Bc,PORT HARDY A; BC
CAM00071119,Stony Plain Ua; Alta,Stony Plain Ua; Alta,STONY PLAIN UA; ALTA
CAM00071603,Yarmouth A; Ns,Yarmouth A; Ns,YARMOUTH A; NS
CAM00071701,Gagetown A; Nb,Gagetown A; Nb,GAGETOWN A; NB
CAM00071722,Maniwaki Ua; Que,Maniwaki Ua; Que,MANIWAKI UA; QUE
CAM00071802,St John'S West Ua; Nfld,St John'S West Ua; Nfld,ST JOHN'S WEST UA; NFLD
CAM00071811,Sept-Iles Ua; Que,Sept-Iles Ua; Que,SEPT-ILES UA; QUE
CAM00071815,Stephenville A; Nfld,Stephenville A; Nfld,STEPHENVILLE A; NFLD
CAM00071816,Goose A; Nfld,Goose A; Nfld,GOOSE A; NFLD
CAM00071823,La Grande Iv Ua; Que,La Grande Iv Ua; Que,LA GRANDE IV UA; QUE
CAM00071836,Moosonee A; Ont,Moosonee A; Ont,MOOSONEE A; ONT
CAM00071843,Winnipeg Ua; Man,Winnipeg Ua; Man,WINNIPEG UA; MAN
CAM00071845,Pickle Lake A; Ont,Pickle Lake A; Ont,PICKLE LAKE A; ONT
CAM00071867,The Pas A; Man,The Pas A; Man,THE PAS A; MAN
CAM00071906,Kuujjuaq A; Que,Kuujjuaq A; Que,KUUJJUAQ A; QUE
CAM00071907,Inukjuak A; Que,Inukjuak A; Que,INUKJUAK A; QUE
CAM00071908,Prince George Ua; Bc,Prince George Ua; Bc,PRINCE GEORGE UA; BC
CAM00071909,Iqaluit A; Nu,Iqaluit A; Nu,IQALUIT A; NU
CAM00071913,Churchill A Ua; Man,Churchill A Ua; Man,CHURCHILL A UA; MAN
CAM00071917,Eureka A; Nu,Eureka A; Nu,EUREKA A; NU
CAM00071924,Resolute Cars; Nu,Resolute Cars; Nu,RESOLUTE CARS; NU
CAM00071925,Cambridge Bay A; Nu,Cambridge Bay A; Nu,CAMBRIDGE BAY A; NU
CAM00071926,Baker Lake A; Nu,Baker Lake A; Nu,BAKER LAKE A; NU
CAM00071934,Fort Smith A; Nwt,Fort Smith A; Nwt,FORT SMITH A; NWT
CAM00071945,Fort Nelson A; Bc,Fort Nelson A; Bc,FORT NELSON A; BC
CAM00071957,Inuvik Awos A; Nwt,Inuvik Awos A; Nwt,INUVIK AWOS A; NWT
CAM00071964,Whitehorse A; Yt,Whitehorse A; Yt,WHITEHORSE A; YT
CAM00073033,Vernon Ua; Bc,Vernon Ua; Bc,VERNON UA; BC
CAM00073111,Kapuskasing Ua; On (Kapuskasing Ua; On),Kapuskasing Ua; On,KAPUSKASING UA; ON
CDM00064700,Ndjamena,Ndjamena,NDJAMENA
CDM00064750,Sarh,Sarh,SARH
CEM00043413,Mannar,Mannar,MANNAR
CEM00043418,Trincomalee,Trincomalee,TRINCOMALEE
CEM00043466,Colombo,Colombo,COLOMBO
CEM00043497,Hambantota,Hambantota,HAMBANTOTA
CFM00064450,Brazzaville ,Brazzaville ,BRAZZAVILLE /MAYA-MAYA
CHM00050527,Hailar (50527-0),Hailar (50527-0),HAILAR (50527-0)
CHM00050557,Nenjiang,Nenjiang,NENJIANG
CHM00050774,Yichun (50774-0),Yichun (50774-0),YICHUN (50774-0)
