code,display_name,city,raw_name
ACM00078861,"Coolidge Field (Ua), Antigua and Barbuda",Coolidge Field (Ua),COOLIDGE FIELD (UA)
AEM00041217,"Abu Dhabi International Air, United Arab Emirates",Abu Dhabi International Air,ABU DHABI INTERNATIONAL AIR
AEXUAE05467,"Sharjah, United Arab Emirates",Sharjah,SHARJAH
AFM00040911,"Mazar-I-Sharif, Afghanistan",Mazar-I-Sharif,MAZAR-I-SHARIF
AFM00040913,"Kunduz, Afghanistan",Kunduz,KUNDUZ
AFM00040938,"Herat, Afghanistan",Herat,HERAT
AFM00040948,"Kabul Airport, Afghanistan",Kabul Airport,KABUL AIRPORT
AFM00040990,"Kandahar Airport, Afghanistan",Kandahar Airport,KANDAHAR AIRPORT
AGM00060355,"Skikda, Algeria",Skikda,SKIKDA
AGM00060360,"Annaba, Algeria",Annaba,ANNABA
AGM00060390,"Dar-El-Beida, Algeria",Dar-El-Beida,DAR-EL-BEIDA
AGM00060402,"Bejaia-Aeroport, Algeria",Bejaia-Aeroport,BEJAIA-AEROPORT
AGM00060419,"Constantine, Algeria",Constantine,CONSTANTINE
AGM00060425,"Chlef, Algeria",Chlef,CHLEF
AGM00060430,"Miliana, Algeria",Miliana,MILIANA
AGM00060445,"Setif, Algeria",Setif,SETIF
AGM00060475,"Tebessa, Algeria",Tebessa,TEBESSA
AGM00060490,"Oran-Senia, Algeria",Oran-Senia,ORAN-SENIA
AGM00060511,"Tiaret, Algeria",Tiaret,TIARET
AGM00060525,"Biskra, Algeria",Biskra,BISKRA
AGM00060535,"Djelfa, Algeria",Djelfa,DJELFA
AGM00060549,"Mecheria, Algeria",Mecheria,MECHERIA
AGM00060550,"El-Bayadh, Algeria",El-Bayadh,EL-BAYADH
AGM00060559,"El-Oued, Algeria",El-Oued,EL-OUED
AGM00060566,"Ghardaia, Algeria",Ghardaia,GHARDAIA
AGM00060571,"Bechar, Algeria",Bechar,BECHAR
AGM00060580,"Ouargla, Algeria",Ouargla,OUARGLA
AGM00060590,"El-Golea, Algeria",El-Golea,EL-GOLEA
AGM00060602,"Beni-Abbes, Algeria",Beni-Abbes,BENI-ABBES
AGM00060607,"Timimoun, Algeria",Timimoun,TIMIMOUN
AGM00060611,"In-Amenas, Algeria",In-Amenas,IN-AMENAS
AGM00060620,"Adrar, Algeria",Adrar,ADRAR
AGM00060625,"Aoulef, Algeria",Aoulef,AOULEF
AGM00060630,"In-Salah, Algeria",In-Salah,IN-SALAH
AGM00060640,"Illizi, Algeria",Illizi,ILLIZI
AGM00060656,"Tindouf, Algeria",Tindouf,TINDOUF
AGM00060670,"Djanet, Algeria",Djanet,DJANET
AGM00060678,"In Amguel, Algeria",In Amguel,IN AMGUEL
AGM00060680,"Tamanrasset, Algeria",Tamanrasset,TAMANRASSET
AGM00060686,"Bordj-Badj-Mokhtar, Algeria",Bordj-Badj-Mokhtar,BORDJ-BADJ-MOKHTAR
AGXUAE04843,"Alger, Algeria",Alger,ALGER
AJM00037575,"Zakatala, Azerbaijan",Zakatala,ZAKATALA
AJM00037735,"Gandja, Azerbaijan",Gandja,GANDJA
AJM00037747,"Evlakh Airport, Azerbaijan",Evlakh Airport,EVLAKH AIRPORT
AJM00037860,"Mashtaga, Azerbaijan",Mashtaga,MASHTAGA
AJM00037895,"Khankandy, Azerbaijan",Khankandy,KHANKANDY
AJM00037936,"Naxcivan, Azerbaijan",Naxcivan,NAXCIVAN
AJM00037985,"Lankaran, Azerbaijan",Lankaran,LANKARAN
AMM00037686,"Gumri, Armenia",Gumri,GUMRI
AMM00037789,"Yerevan Aero, Armenia",Yerevan Aero,YEREVAN AERO
AOM00066152,"Dundo, Angola",Dundo,DUNDO
AOM00066160,"Luanda, Angola",Luanda,LUANDA
AOM00066285,"Luena, Angola",Luena,LUENA
AOM00066318,"Huambo, Angola",Huambo,HUAMBO
AOM00066390,"Lubango Sa Da Bandeira, Angola",Lubango Sa Da Bandeira,LUBANGO SA DA BANDEIRA
AOM00066422,"Mocamedes, Angola",Mocamedes,MOCAMEDES
AOXUAE05971,"Lobito, Angola",Lobito,LOBITO
AQM00091765,"Pago Pago/Int.Airp. America, American Samoa",Pago Pago,PAGO PAGO/INT.AIRP. AMERICA
AQW00061704,"Leone Bay American S, American Samoa",Leone Bay American S,LEONE BAY AMERICAN S
ARM00087047,"Salta Aero, Argentina",Salta Aero,SALTA AERO
ARM00087155,"Resistencia Aero, Argentina",Resistencia Aero,RESISTENCIA AERO
ARM00087157,"Resistencia, Argentina",Resistencia,RESISTENCIA
ARM00087244,"Villa De Maria Del Rio Seco, Argentina",Villa De Maria Del Rio Seco,VILLA DE MARIA DEL RIO SECO
ARM00087344,"Cordoba Aero, Argentina",Cordoba Aero,CORDOBA AERO
ARM00087418,"Mendoza Aero, Argentina",Mendoza Aero,MENDOZA AERO
ARM00087420,"Observ Mendoza, Argentina",Observ Mendoza,OBSERV MENDOZA
ARM00087576,"Ezeiza Aero, Argentina",Ezeiza Aero,EZEIZA AERO
ARM00087582,"Aeroparque Aero, Argentina",Aeroparque Aero,AEROPARQUE AERO
ARM00087585,"Buenos Aires Observatorio, Argentina",Buenos Aires Observatorio,BUENOS AIRES OBSERVATORIO
ARM00087596,"Punta Indio B.A., Argentina",Punta Indio B.A.,PUNTA INDIO B.A.
ARM00087623,"Santa Rosa Aero, Argentina",Santa Rosa Aero,SANTA ROSA AERO
ARM00087715,"Neuquen Aero, Argentina",Neuquen Aero,NEUQUEN AERO
ARM00087748,"Comandante Espora, Argentina",Comandante Espora,COMANDANTE ESPORA
ARM00087827,"Almirante Zar, Argentina",Almirante Zar,ALMIRANTE ZAR
ARM00087860,"Comodoro Rivadavia Aero, Argentina",Comodoro Rivadavia Aero,COMODORO RIVADAVIA AERO
ARM00087926,"Rio Gallegos B. A., Argentina",Rio Gallegos B. A.,RIO GALLEGOS B. A.
ARM00087934,"Rio Grande Airport, Argentina",Rio Grande Airport,RIO GRANDE AIRPORT
ARM00087938,"Ushuaia, Argentina",Ushuaia,USHUAIA
ARM00088946,"Corbeta Uruguay Dn, Argentina",Corbeta Uruguay Dn,CORBETA URUGUAY DN
ASM00094120,"Darwin Airport, Australia",Darwin Airport,DARWIN AIRPORT
ASM00094155,"East Arnhem, Australia",East Arnhem,EAST ARNHEM
ASM00094170,"Weipa Aero, Australia",Weipa Aero,WEIPA AERO
ASM00094175,"Usaf-Ds3-659, Australia",Usaf-Ds3-659,USAF-DS3-659
ASM00094203,"Broome Airport, Australia",Broome Airport,BROOME AIRPORT
ASM00094205,"Derby, Australia",Derby,DERBY
ASM00094212,"Halls Creek Airport, Australia",Halls Creek Airport,HALLS CREEK AIRPORT
ASM00094234,"Daly Waters, Australia",Daly Waters,DALY WATERS
ASM00094238,"Tennant Creek Airport, Australia",Tennant Creek Airport,TENNANT CREEK AIRPORT
ASM00094259,"Burketown, Australia",Burketown,BURKETOWN
ASM00094266,"Normanton Airport, Australia",Normanton Airport,NORMANTON AIRPORT
ASM00094287,"Cairns Aero, Australia",Cairns Aero,CAIRNS AERO
ASM00094294,"Townsville Aero, Australia",Townsville Aero,TOWNSVILLE AERO
ASM00094299,"Willis Island, Australia",Willis Island,WILLIS ISLAND
ASM00094300,"Carnarvon Airport, Australia",Carnarvon Airport,CARNARVON AIRPORT
ASM00094302,"Learmonth Airport, Australia",Learmonth Airport,LEARMONTH AIRPORT
ASM00094305,"Onslow, Australia",Onslow,ONSLOW
ASM00094312,"Port Hedland Airport, Australia",Port Hedland Airport,PORT HEDLAND AIRPORT
ASM00094326,"Alice Springs Airport, Australia",Alice Springs Airport,ALICE SPRINGS AIRPORT
ASM00094332,"Mount Isa Aero, Australia",Mount Isa Aero,MOUNT ISA AERO
ASM00094335,"Cloncurry, Australia",Cloncurry,CLONCURRY
